

Hiperparámetros por defecto  
        n_bins: int = 20,
        lr: float = 0.1,
        gamma: float = 0.99,
        epsilon_start: float = 1.0,
        epsilon_end: float = 0.01,
        epsilon_decay: float = 0.9995,

Resultados Entrenamiento

Episode 7100/20000 | Avg Reward: -174.97 | Epsilon: 0.0287 | States visited: 294
Episode 7200/20000 | Avg Reward: -163.61 | Epsilon: 0.0273 | States visited: 295
Episode 7300/20000 | Avg Reward: -163.19 | Epsilon: 0.0260 | States visited: 295
Episode 7400/20000 | Avg Reward: -159.27 | Epsilon: 0.0247 | States visited: 296
Episode 7500/20000 | Avg Reward: -148.42 | Epsilon: 0.0235 | States visited: 296
Episode 7600/20000 | Avg Reward: -140.03 | Epsilon: 0.0223 | States visited: 296
Episode 7700/20000 | Avg Reward: -138.27 | Epsilon: 0.0213 | States visited: 296
Episode 7800/20000 | Avg Reward: -150.45 | Epsilon: 0.0202 | States visited: 296
Episode 7900/20000 | Avg Reward: -145.80 | Epsilon: 0.0192 | States visited: 296
Episode 8000/20000 | Avg Reward: -158.54 | Epsilon: 0.0183 | States visited: 296
Episode 8100/20000 | Avg Reward: -153.93 | Epsilon: 0.0174 | States visited: 296
Episode 8200/20000 | Avg Reward: -152.51 | Epsilon: 0.0166 | States visited: 296
Episode 8300/20000 | Avg Reward: -152.20 | Epsilon: 0.0157 | States visited: 296
Episode 8400/20000 | Avg Reward: -153.09 | Epsilon: 0.0150 | States visited: 296
Episode 8500/20000 | Avg Reward: -147.04 | Epsilon: 0.0142 | States visited: 296
Episode 8600/20000 | Avg Reward: -161.45 | Epsilon: 0.0136 | States visited: 296
Episode 8700/20000 | Avg Reward: -159.47 | Epsilon: 0.0129 | States visited: 296
Episode 8800/20000 | Avg Reward: -152.69 | Epsilon: 0.0123 | States visited: 296
Episode 8900/20000 | Avg Reward: -135.38 | Epsilon: 0.0117 | States visited: 296
Episode 9000/20000 | Avg Reward: -136.98 | Epsilon: 0.0111 | States visited: 296
Episode 9100/20000 | Avg Reward: -131.51 | Epsilon: 0.0106 | States visited: 296
Episode 9200/20000 | Avg Reward: -142.21 | Epsilon: 0.0100 | States visited: 296
Episode 9300/20000 | Avg Reward: -146.21 | Epsilon: 0.0100 | States visited: 296
Episode 9400/20000 | Avg Reward: -157.32 | Epsilon: 0.0100 | States visited: 296
Episode 9500/20000 | Avg Reward: -146.73 | Epsilon: 0.0100 | States visited: 296
Episode 9600/20000 | Avg Reward: -151.06 | Epsilon: 0.0100 | States visited: 297
Episode 9700/20000 | Avg Reward: -149.27 | Epsilon: 0.0100 | States visited: 297
Episode 9800/20000 | Avg Reward: -157.79 | Epsilon: 0.0100 | States visited: 297
Episode 9900/20000 | Avg Reward: -149.00 | Epsilon: 0.0100 | States visited: 297
Episode 10000/20000 | Avg Reward: -175.42 | Epsilon: 0.0100 | States visited: 297
Episode 10100/20000 | Avg Reward: -166.27 | Epsilon: 0.0100 | States visited: 297
Episode 10200/20000 | Avg Reward: -169.01 | Epsilon: 0.0100 | States visited: 297
Episode 10300/20000 | Avg Reward: -162.94 | Epsilon: 0.0100 | States visited: 297
Episode 10400/20000 | Avg Reward: -162.35 | Epsilon: 0.0100 | States visited: 297
Episode 10500/20000 | Avg Reward: -159.79 | Epsilon: 0.0100 | States visited: 297
Episode 10600/20000 | Avg Reward: -163.91 | Epsilon: 0.0100 | States visited: 297
Episode 10700/20000 | Avg Reward: -150.70 | Epsilon: 0.0100 | States visited: 297
Episode 10800/20000 | Avg Reward: -136.91 | Epsilon: 0.0100 | States visited: 297
Episode 10900/20000 | Avg Reward: -140.68 | Epsilon: 0.0100 | States visited: 297
Episode 11000/20000 | Avg Reward: -138.11 | Epsilon: 0.0100 | States visited: 297
Episode 11100/20000 | Avg Reward: -135.21 | Epsilon: 0.0100 | States visited: 297
Episode 11200/20000 | Avg Reward: -135.30 | Epsilon: 0.0100 | States visited: 297
Episode 11300/20000 | Avg Reward: -132.89 | Epsilon: 0.0100 | States visited: 297
Episode 11400/20000 | Avg Reward: -135.58 | Epsilon: 0.0100 | States visited: 297
Episode 11500/20000 | Avg Reward: -134.08 | Epsilon: 0.0100 | States visited: 297
Episode 11600/20000 | Avg Reward: -134.26 | Epsilon: 0.0100 | States visited: 297
Episode 11700/20000 | Avg Reward: -129.03 | Epsilon: 0.0100 | States visited: 297
Episode 11800/20000 | Avg Reward: -129.26 | Epsilon: 0.0100 | States visited: 297
Episode 11900/20000 | Avg Reward: -128.59 | Epsilon: 0.0100 | States visited: 297
Episode 12000/20000 | Avg Reward: -129.18 | Epsilon: 0.0100 | States visited: 297
Episode 12100/20000 | Avg Reward: -129.56 | Epsilon: 0.0100 | States visited: 297
Episode 12200/20000 | Avg Reward: -129.05 | Epsilon: 0.0100 | States visited: 297
Episode 12300/20000 | Avg Reward: -140.54 | Epsilon: 0.0100 | States visited: 297
Episode 12400/20000 | Avg Reward: -131.72 | Epsilon: 0.0100 | States visited: 297
Episode 12500/20000 | Avg Reward: -138.37 | Epsilon: 0.0100 | States visited: 297
Episode 12600/20000 | Avg Reward: -141.47 | Epsilon: 0.0100 | States visited: 297
Episode 12700/20000 | Avg Reward: -132.54 | Epsilon: 0.0100 | States visited: 297
Episode 12800/20000 | Avg Reward: -156.53 | Epsilon: 0.0100 | States visited: 297
Episode 12900/20000 | Avg Reward: -171.26 | Epsilon: 0.0100 | States visited: 297
Episode 13000/20000 | Avg Reward: -170.21 | Epsilon: 0.0100 | States visited: 297
Episode 13100/20000 | Avg Reward: -166.52 | Epsilon: 0.0100 | States visited: 297
Episode 13200/20000 | Avg Reward: -161.21 | Epsilon: 0.0100 | States visited: 297
Episode 13300/20000 | Avg Reward: -156.34 | Epsilon: 0.0100 | States visited: 297
Episode 13400/20000 | Avg Reward: -174.77 | Epsilon: 0.0100 | States visited: 297
Episode 13500/20000 | Avg Reward: -176.22 | Epsilon: 0.0100 | States visited: 297
Episode 13600/20000 | Avg Reward: -164.73 | Epsilon: 0.0100 | States visited: 297
Episode 13700/20000 | Avg Reward: -163.75 | Epsilon: 0.0100 | States visited: 297
Episode 13800/20000 | Avg Reward: -160.67 | Epsilon: 0.0100 | States visited: 297
Episode 13900/20000 | Avg Reward: -159.63 | Epsilon: 0.0100 | States visited: 297
Episode 14000/20000 | Avg Reward: -159.65 | Epsilon: 0.0100 | States visited: 297
Episode 14100/20000 | Avg Reward: -149.57 | Epsilon: 0.0100 | States visited: 297
Episode 14200/20000 | Avg Reward: -150.71 | Epsilon: 0.0100 | States visited: 297
Episode 14300/20000 | Avg Reward: -150.75 | Epsilon: 0.0100 | States visited: 297
Episode 14400/20000 | Avg Reward: -150.11 | Epsilon: 0.0100 | States visited: 297
Episode 14500/20000 | Avg Reward: -147.91 | Epsilon: 0.0100 | States visited: 297
Episode 14600/20000 | Avg Reward: -147.83 | Epsilon: 0.0100 | States visited: 297
Episode 14700/20000 | Avg Reward: -148.77 | Epsilon: 0.0100 | States visited: 297
Episode 14800/20000 | Avg Reward: -145.00 | Epsilon: 0.0100 | States visited: 297
Episode 14900/20000 | Avg Reward: -144.71 | Epsilon: 0.0100 | States visited: 297
Episode 15000/20000 | Avg Reward: -143.72 | Epsilon: 0.0100 | States visited: 297
Episode 15100/20000 | Avg Reward: -144.56 | Epsilon: 0.0100 | States visited: 297
Episode 15200/20000 | Avg Reward: -143.90 | Epsilon: 0.0100 | States visited: 297
Episode 15300/20000 | Avg Reward: -148.28 | Epsilon: 0.0100 | States visited: 297
Episode 15400/20000 | Avg Reward: -141.01 | Epsilon: 0.0100 | States visited: 297
Episode 15500/20000 | Avg Reward: -135.75 | Epsilon: 0.0100 | States visited: 297
Episode 15600/20000 | Avg Reward: -135.19 | Epsilon: 0.0100 | States visited: 297
Episode 15700/20000 | Avg Reward: -136.00 | Epsilon: 0.0100 | States visited: 297
Episode 15800/20000 | Avg Reward: -134.57 | Epsilon: 0.0100 | States visited: 297
Episode 15900/20000 | Avg Reward: -134.19 | Epsilon: 0.0100 | States visited: 297
Episode 16000/20000 | Avg Reward: -135.84 | Epsilon: 0.0100 | States visited: 297
Episode 16100/20000 | Avg Reward: -133.74 | Epsilon: 0.0100 | States visited: 297
